;player_name;team;games_played;minutes_played;minutes_per_game;total_points;points_per_game
351;Malik Beasley;LAL;81;2093,085;25,840555555555557;1025;12,654320987654321
56;Caleb Martin;MIA;71;2077,7383333333332;29,263920187793424;683;9,619718309859154
19;Andrew Nembhard;IND;75;2073,5316666666668;27,64708888888889;709;9,453333333333333
295;Keldon Johnson;SAS;63;2063,3316666666665;32,751296296296296;1385;21,984126984126984
3;Aaron Gordon;DEN;68;2055,1066666666666;30,222156862745095;1109;16,308823529411764
362;Mason Plumlee;LAC;79;2052,945;25,986645569620254;857;10,848101265822784
171;Grant Williams;BOS;79;2044,7616666666668;25,88305907172996;641;8,113924050632912
112;Deandre Ayton;PHX;67;2035,3366666666666;30,378159203980097;1203;17,955223880597014
377;Mike Conley;MIN;67;2028,055;30,2694776119403;798;11,91044776119403
313;Kevin Porter Jr.;HOU;59;2023,8833333333334;34,30310734463277;1130;19,152542372881356
166;Giannis Antetokounmpo;MIL;63;2023,615;32,120873015873016;1959;31,095238095238095
115;Deni Avdija;WAS;76;2020,38;26,583947368421054;697;9,171052631578947
512;Tyrese Maxey;PHI;60;2015,77;33,59616666666667;1218;20,3
135;Dorian Finney-Smith;BKN;66;2008,825;30,436742424242425;551;8,348484848484848
262;Jordan Clarkson;UTA;61;1988,3033333333333;32,595136612021854;1271;20,83606557377049
116;Dennis Schroder;LAL;66;1985,945;30,090075757575757;830;12,575757575757576
496;Tre Jones;SAS;68;1983,7383333333332;29,172622549019607;875;12,867647058823529
172;Grayson Allen;MIL;72;1972,1366666666668;27,39078703703704;750;10,416666666666666
259;Jonas Valanciunas;NOP;79;1968,2433333333333;24,914472573839664;1115;14,113924050632912
146;Eric Gordon;LAC;69;1965,5083333333334;28,485628019323673;856;12,405797101449275
315;Kevon Looney;GSW;82;1957,595;23,873109756097563;578;7,048780487804878
356;Marcus Smart;BOS;61;1956,76;32,078032786885245;703;11,524590163934427
324;Kyle Anderson;MIN;69;1956,5733333333333;28,35613526570048;647;9,376811594202898
333;LeBron James;LAL;55;1953,94;35,52618181818182;1590;28,90909090909091
177;Herbert Jones;NOP;66;1950,53;29,55348484848485;649;9,833333333333334
193;Ja Morant;MEM;61;1948,3483333333334;31,94013661202186;1596;26,16393442622951
494;Torrey Craig;PHX;79;1947,8416666666667;24,656223628691983;588;7,443037974683544
296;Kelly Olynyk;UTA;68;1941,5933333333332;28,5528431372549;847;12,455882352941176
471;Stephen Curry;GSW;56;1941,1516666666666;34,663422619047616;1648;29,428571428571427
513;Tyus Jones;MEM;80;1939,4233333333334;24,24279166666667;822;10,275
424;Paul George;LAC;56;1938,8916666666667;34,623065476190476;1332;23,785714285714285
8;Al Horford;BOS;63;1921,375;30,498015873015873;616;9,777777777777779
414;P.J. Tucker;PHI;75;1920,055;25,600733333333334;266;3,546666666666667
212;Jalen McDaniels;PHI;80;1912,8533333333332;23,910666666666664;755;9,4375
207;Jakob Poeltl;TOR;72;1906,125;26,473958333333332;897;12,458333333333334
22;Anthony Davis;LAL;56;1904,51;34,00910714285714;1451;25,910714285714285
134;Donte DiVincenzo;GSW;72;1894,38;26,310833333333335;678;9,416666666666666
38;Bojan Bogdanovic;DET;59;1892,8666666666666;32,08248587570621;1273;21,576271186440678
70;Chris Paul;PHX;59;1888,635;32,01076271186441;819;13,88135593220339
510;Tyrese Haliburton;IND;56;1882,8533333333332;33,62238095238095;1160;20,714285714285715
226;Jarred Vanderbilt;LAL;78;1879,7416666666666;24,099252136752135;619;7,935897435897436
481;Terance Mann;LAC;81;1872,1766666666667;23,11329218106996;713;8,802469135802468
505;Troy Brown Jr.;LAL;76;1859,79;24,470921052631578;541;7,118421052631579
409;Onyeka Okongwu;ATL;80;1848,555;23,1069375;791;9,8875
26;Austin Reaves;LAL;64;1843,2266666666667;28,800416666666667;833;13,015625
123;Desmond Bane;MEM;58;1841,4533333333334;31,749195402298852;1247;21,5
124;Devin Booker;PHX;53;1835,4133333333334;34,63044025157233;1471;27,754716981132077
388;Myles Turner;IND;62;1825,21;29,438870967741938;1113;17,951612903225808
355;Marcus Morris Sr.;LAC;65;1825,1133333333332;28,078666666666663;728;11,2
36;Bobby Portis;MIL;70;1818,4316666666666;25,977595238095237;987;14,1
421;Patrick Beverley;CHI;67;1816,5266666666666;27,112338308457712;415;6,1940298507462686
